id,is_deleted,last_name,first_name,title,company,street,city,state,postal_code,country,phone,mobile_phone,email,website,lead_source,status,is_converted,created_date,last_modified_date,last_activity_date,last_viewed_date,last_referenced_date,email_bounced_reason,email_bounced_date,outreach_stage_c,current_enrollment_c,capacity_c,lead_source_last_updated_c,brightwheel_school_uuid_c
1,FALSE,test1,Jim,,One Step At A Time Family Day Care,,,New York,,,1234567890,1234567928,test1@gmail.com,,TAM,Working,FALSE,2023-06-01 6:35:38,2024-05-17 18:28:33,2024-05-17,,,,,Working,,,,21
2,FALSE,test2,Lori,,Home Sweet Home Child Care (Angola),,,New York,,,1234567891,1234567929,test2@gmail.com,,TAM,Working,FALSE,2023-06-01 5:21:17,2024-05-17 18:28:31,2024-05-17,,,,,Working,,,,22
3,FALSE,test3,Ashley,,Ashley & Sandra,,,Iowa,,,1234567892,1234567930,test1@gmail.com,,Proactive Trial,Working,FALSE,2024-05-13 22:52:28,2024-05-17 18:28:31,2024-05-17,,,,,Working,,,,23
4,FALSE,test4,,,Laura L Hauser Daycare,833 Sam St.,Bovey,MN,55709,,1234567893,1234567931,test2@gmail.com,,TAM,Working,FALSE,2021-12-17 18:28:57,2024-05-17 18:28:30,2024-05-17,,,,,Working,,,,24
5,FALSE,test5,,,Children's Lighthouse Of Wylie,3465 Fm 544 West,Wylie,TX,75098,,1234567894,1234567932,test1@gmail.com,,TAM,Working,FALSE,2022-10-31 22:39:41,2024-05-17 18:28:29,2024-05-17,,,,,Working,,,,25
6,FALSE,test6,Trey,,Monnies kids,,,Oklahoma,,,1234567895,1234567933,test2@gmail.com,,Web,Working,FALSE,2023-10-12 16:11:35,2024-05-17 18:28:28,2024-05-17,,,,,Working,,,,26
7,FALSE,test7,Kristen,Director/Principal,"Little Learners Federal City, Llc - New Orleans LA Child Day Care - Type III",775 Hunley Lane,New Orleans,Louisiana,70114,United States,1234567896,1234567934,test1@gmail.com,,Marketing Research,Working,FALSE,2019-04-03 19:48:14,2024-05-17 18:28:28,2024-05-17,,,,,Working,,,2019-06-27,27
8,TRUE,test8,Mike,Vp Of Sales,Prime Coat,229 S Ash St,Hobart,Indiana,46342-4210,United States,1234567897,1234567935,test2@gmail.com,www.primecoat.com,List Purchase,Assigned,FALSE,2020-02-20 22:51:42,2024-05-17 18:28:28,2024-05-17,,,,,Added to sequence,,,,28
9,FALSE,test9,Kelly,,Kiowa Preschool And Learning Center,"525 Comanche Street,",Kiowa,Colorado,80117,,1234567898,1234567936,test1@gmail.com,,TAM,Working,FALSE,2021-09-04 0:13:24,2024-05-17 18:28:27,2024-05-17,,,,,Working,52,65,,29
10,FALSE,test10,,,West Jordan Care Center,3350 W 7800 S,West Jordan,UT,84088,US,1234567899,1234567937,test2@gmail.com,,TAM,Assigned,FALSE,2024-03-02 2:56:37,2024-05-17 18:28:25,2024-05-17,,,,,Added to sequence,,,,30
11,FALSE,test11,,,Eminent Stars Daycare Ltd,,,BC,,,1234567900,1234567938,test1@gmail.com,,TAM,Assigned,FALSE,2023-10-18 15:42:22,2024-05-17 18:28:20,2024-05-17,,,,,Added to sequence,,,,31
12,FALSE,test12,Jenna,,Panther Cub Corner,,,Ohio,,,1234567901,1234567939,test2@gmail.com,,Web,Assigned,FALSE,2024-05-17 16:46:40,2024-05-17 18:28:19,,,,,,,,,,32
13,FALSE,test13,,,College Of The North Atlantic Child Care Centre,219 Hamilton River Road,Happy Valley-Goose Bay,Newfoundland,A2N 2Z6,Canada,1234567902,1234567940,test1@gmail.com,,TAM,Unqualified,FALSE,2021-03-19 4:25:23,2024-05-17 18:28:19,2024-05-17,,,,,Unqualified - Enterprise,,,,33
14,FALSE,test14,Jonathan,,"Mendez, Jonathan",1061 St Nicholas Ave,New York,NY,10032,,1234567903,1234567941,test2@gmail.com,,TAM,Working,FALSE,2024-04-03 14:22:42,2024-05-17 18:28:18,2024-05-17,,,,,Working,,,,34
15,FALSE,test15,Jennifer,Principal,Mary Of Lourdes School,307 4th St Se,Little Falls,Minnesota,56345,,1234567904,1234567942,test1@gmail.com,https://www.molschool.org/staff-directory,TAM,Recycled,FALSE,2021-09-03 21:26:04,2024-05-17 18:28:18,2024-05-17,,,,,Recycled - Using Competitor,30,30,,35
16,FALSE,test16,Denise,,Patch Pre-School,,Spencer,West Virginia,25276,,1234567905,1234567943,test2@gmail.com,,TAM,Working,FALSE,2018-03-17 4:21:44,2024-05-17 18:28:18,2024-05-17,,,,,Working,,,,36
17,FALSE,test17,Rhonda,,Noah's Ark Daycare,,,Florida,,,1234567906,1234567944,test1@gmail.com,,,Working,FALSE,2023-08-28 23:36:10,2024-05-17 18:28:10,2024-05-17,,,,,Working,,,,37
18,FALSE,test18,Haris,,kaizen high,,,Pennsylvania,,,1234567907,1234567945,test2@gmail.com,,Web,Working,FALSE,2024-05-07 9:03:09,2024-05-17 18:28:09,2024-05-17,,,,,Working,,,,38
19,FALSE,test19,Gracie,,Three Feathers Daycare,2332 Virginia Ave,Baker City,Oregon,97814,US,1234567908,1234567946,test1@gmail.com,,TAM,Working,FALSE,2024-03-02 0:49:19,2024-05-17 18:28:09,2024-05-17,,,,,Working,,,,39
20,FALSE,test20,Darryl,,Dolberry Family Child Care,,Los Angeles,California,90047,US,1234567909,1234567947,test2@gmail.com,,TAM,Working,FALSE,2023-10-17 17:52:01,2024-05-17 18:28:08,2024-05-17,,,,,Working,,,,40
21,FALSE,test21,PHYLLIS,,Noni's,,,California,,,1234567910,1234567948,test1@gmail.com,,Proactive Trial,Assigned,FALSE,2024-05-16 21:02:49,2024-05-17 18:28:08,2024-05-17,,,,,,,,,41
22,FALSE,test22,,,GIGi'S CHILDCARE INC.,1452 7th St,West Babylon,NY,11704,,1234567911,1234567949,test2@gmail.com,,TAM,Assigned,FALSE,2024-04-03 16:52:27,2024-05-17 18:28:07,2024-05-17,,,,,Added to sequence,,,,42
23,FALSE,test23,Lindsay,,Stepping Stones Early Learning Center,,,Wisconsin,,,1234567912,1234567950,test1@gmail.com,,Web,Recycled,FALSE,2024-01-30 16:49:42,2024-05-17 18:28:06,2024-05-07,,,,,Recycled - Using Competitor,,,,43
24,FALSE,test24,Ms.,,Barr Colony - O.S.C.,3103 - 52 AVENUE,LLOYDMINSTER,Alberta,T9V 1M9,Canada,1234567913,1234567951,test2@gmail.com,,TAM,Working,FALSE,2021-03-19 5:26:46,2024-05-17 18:28:01,2024-05-17,,,,,Working,,,,44
25,FALSE,test25,Kristine,,The Tree House,,,Wisconsin,,,1234567914,1234567952,test1@gmail.com,,Web,Assigned,FALSE,2024-05-16 18:21:04,2024-05-17 18:28:01,2024-05-17,,,,,,,,,45
26,FALSE,test26,LAIANE,,Escolinha Vila Aquarela,,,Other,,,1234567915,1234567953,test2@gmail.com,,Web,Assigned,FALSE,2024-05-17 18:23:20,2024-05-17 18:27:54,,,,,,Assigned,,,,46
27,FALSE,test27,Patricia,,Afternoons At Emmanuel,1603 E Winter Park Rd,Orlando,FL,32803,US,1234567916,1234567954,test1@gmail.com,http://www.emmanuelepiscopal.net/,TAM,Assigned,FALSE,2023-10-17 17:09:58,2024-05-17 18:27:53,2024-05-17,,,,,Added to sequence,,,,47
28,FALSE,test28,Simone Regal,Provider,Andrades Day Care,10272 Greenwood Ave,Montclair,CA,91763,US,1234567917,1234567955,test2@gmail.com,,TAM,Connected,FALSE,2024-03-02 3:58:51,2024-05-17 18:27:52,2024-05-17,,,,,Connected,,,,48
29,FALSE,test29,,,Little Journeys Daycare,1976 Central Ave,Albany,NY,12205,,1234567918,1234567956,test1@gmail.com,,TAM,Connected,FALSE,2024-04-03 16:59:02,2024-05-17 18:27:52,2024-05-17,,,,,Connected,,,,49
30,FALSE,test30,NANCY & DANIELLE,,"RENTERIA, NANCY & DANIELLE FAMILY CHILD CARE",,Visalia,California,93291,US,1234567919,1234567957,test2@gmail.com,,TAM,Working,FALSE,2021-10-28 22:47:24,2024-05-17 18:27:52,2024-05-17,,,,,Working,,,,50
31,FALSE,test31,Laquita,,Exhale Uplift Uprise Euu Group Llc,3544 Jerome Ct,Indianapolis,Indiana,46235,US,1234567920,1234567958,test1@gmail.com,,TAM,Working,FALSE,2024-03-01 22:34:39,2024-05-17 18:27:52,2024-05-17,,,,,Working,,,,51
32,FALSE,test32,Rilee Taylor,,Lil Critters Daycare,,,Kansas,,,1234567921,1234567959,test2@gmail.com,,TAM,Recycled,FALSE,2023-06-01 5:48:50,2024-05-17 18:27:52,2024-05-17,,,,,Recycled - Neglected,,,,52
33,FALSE,test33,Denise,,Prestige Early Learning Academy,1898 Calhoun St,Columbia,SC,29201,US,1234567922,1234567960,test1@gmail.com,,TAM,Working,FALSE,2023-05-19 21:00:38,2024-05-17 18:27:52,2024-05-17,,,,,Working,,,,53
34,FALSE,test34,Kari,,Mountain Ridge Preschool,23104 N 67th Ave,Glendale,AZ,85310,,1234567923,1234567961,test2@gmail.com,,TAM,Working,FALSE,2024-04-03 14:19:35,2024-05-17 18:27:52,2024-05-17,,,,,Working,,,,54
35,FALSE,test35,Kayla,,Precious Cargo,2900 N 37th St,Milwaukee,WI,53210,US,1234567924,1234567962,test1@gmail.com,,TAM,Recycled,FALSE,2023-12-21 18:48:09,2024-05-17 18:27:51,2024-05-17,,,,,Recycled - Neglected,,,,55
36,FALSE,test36,P. & Silverton G.,,"Neighborhood School, The",4433 Mammoth Ave,Sherman Oaks,CA,91423,US,1234567925,1234567963,test2@gmail.com,,Marketing Research,Working,FALSE,2018-03-17 5:04:42,2024-05-17 18:27:47,2024-05-17,,,,,Working,32,,2019-06-27,56
37,FALSE,test37,Tracy,,Joe's preschool,,,New York,,,1234567926,1234567964,test1@gmail.com,,Web,Working,FALSE,2024-05-14 22:27:36,2024-05-17 18:27:46,2024-05-17,,,,,Working,,,,57
38,FALSE,test38,Naomi,,Learning Center,,,Maryland,,,1234567927,1234567965,test2@gmail.com,,Web,Working,FALSE,2023-02-05 13:30:44,2024-05-17 18:27:42,2024-05-17,,,,,Working,,,,58
39,FALSE,test39,Ms. Chrissy,,Keystone Montessori School,12138 Sheep Farm Rd,Ratcliff,Arkansas,72951,US,1234567928,1234567966,test1@gmail.com,,TAM,Working,FALSE,2022-10-31 22:34:17,2024-05-17 18:27:36,2024-05-17,,,,,Working,,25,,59
